stadiums,capacity,region,country,city,original_stadium_name,location,lat,lon
Estadio Benito Villamarín,60720,Europe,Spain,Seville,Estadio Benito Villamarín,"[37.3565354, -5.9817566]",37.3565354,-5.9817566
Abuja Stadium,60491,Africa,Nigeria,Abuja,Abuja Stadium,"[9.0643305, 7.4892974]",9.0643305,7.4892974
MHPArena,60469,Europe,Germany,Stuttgart,MHPArena,"[48.8911701, 9.1824202]",48.8911701,9.1824202
Celtic Park,60411,Europe,Scotland,Glasgow,Celtic Park,"[55.8501815, -4.2068227]",55.8501815,-4.2068227
Estadio de la UNSA,60370,South America,Peru,Arequipa,Estadio de la UNSA,"[-16.4073043, -71.5204685]",-16.4073043,-71.5204685
Emirates Stadium,60338,Europe,England,London,Emirates Stadium,"[51.5550403, -0.1083997]",51.5550403,-0.1083997
Shenzhen Universiade Sports Centre Stadium,60334,East Asia,China,Shenzhen,Shenzhen Universiade Sports Centre Stadium,"[22.6970397, 114.2123372]",22.6970397,114.2123372
Estadio Centenario,60235,South America,Uruguay,Montevideo,Estadio Centenario,"[-34.8945393, -56.1526841]",-34.8945393,-56.1526841
Estádio José do Rego Maciel,60044,South America,Brazil,Recife,Estádio José do Rego Maciel,"[-8.0268093, -34.8911967]",-8.0268093,-34.8911967
Stade Léopold Sédar Senghor,60000,Africa,Senegal,Dakar,Stade Léopold Sédar Senghor,"[14.7467716, -17.451914]",14.7467716,-17.451914
Al-Bayt Stadium,60000,West Asia,Qatar,Al-Khor,Al-Bayt Stadium,"[25.6521339, 51.4878055]",25.6521339,51.4878055
